iter	Logloss
0	0.6485478149
5	0.5056265416
10	0.4387386001
15	0.4049261825
20	0.3856790523
25	0.3748755513
30	0.3684763585
35	0.3644726165
40	0.3618043851
45	0.3600550498
50	0.3588268121
55	0.3580801868
60	0.3573787161
65	0.3568869255
70	0.3565157556
75	0.3561971732
80	0.3559283881
85	0.3557659831
90	0.3555767041
95	0.3554165312
100	0.3552533004
105	0.3551195328
110	0.3550204515
115	0.354928669
120	0.3548254361
125	0.3547430506
130	0.3546532993
135	0.3545709362
140	0.3544861624
145	0.3544037769
150	0.3543358106
155	0.3542475994
160	0.3541903024
165	0.3541196352
170	0.3540490797
175	0.3539920058
180	0.3539291509
185	0.3538730815
190	0.3538266322
195	0.3537703619
200	0.353708556
205	0.3536539598
210	0.3536090506
215	0.3535537624
220	0.3535059293
225	0.3534584979
230	0.3534200841
235	0.3533786793
240	0.3533259357
245	0.3532852452
250	0.3532467421
255	0.3532001589
260	0.3531556962
265	0.3531171484
270	0.3530865245
275	0.3530352987
280	0.3529990053
285	0.3529632923
290	0.3529189635
295	0.3528980044
300	0.3528659073
305	0.3528341451
310	0.3528028739
315	0.3527702188
320	0.3527402645
325	0.3527083236
330	0.3526747534
335	0.3526466294
340	0.3526181483
345	0.3525752926
350	0.3525386868
355	0.3525020586
360	0.3524749614
365	0.3524415027
370	0.3524143608
375	0.3523873529
380	0.3523604565
385	0.3523367297
390	0.3523128689
395	0.3522914857
400	0.352263518
405	0.3522367555
410	0.3522051718
415	0.3521757086
420	0.3521482319
425	0.3521168714
430	0.3520938142
435	0.3520712927
440	0.3520482354
445	0.3520224328
450	0.3520007594
455	0.3519698454
460	0.3519434624
465	0.3519195793
470	0.3518920356
475	0.3518675052
480	0.3518421267
485	0.351816882
490	0.3517968381
495	0.3517783789
500	0.351755344
505	0.351729653
510	0.3517046762
515	0.3516867974
520	0.351661017
525	0.3516365536
530	0.3516137419
535	0.3515917338
540	0.3515702613
545	0.3515527396
550	0.3515301734
555	0.3515093706
560	0.3514878312
565	0.3514691935
570	0.3514511807
575	0.3514262932
580	0.3514091956
585	0.35139154
590	0.3513683711
595	0.3513462067
600	0.3513254486
605	0.3513063867
610	0.3512893114
615	0.3512701603
620	0.3512523931
625	0.3512357196
630	0.3512159881
635	0.3511947389
640	0.351174137
645	0.3511495843
650	0.3511322634
655	0.3511107463
660	0.3510941844
665	0.3510689398
670	0.3510493199
675	0.3510332044
680	0.35101229
685	0.3509956835
690	0.3509753047
695	0.350958475
700	0.3509391006
705	0.3509228735
710	0.3509042135
715	0.3508906872
720	0.3508749065
725	0.350856492
730	0.3508393497
735	0.3508207343
740	0.3508012037
745	0.3507812268
750	0.350764397
755	0.3507479021
760	0.3507335499
765	0.3507150684
770	0.3506960512
775	0.3506796232
780	0.3506580615
785	0.3506448477
790	0.350631366
795	0.3506100944
800	0.3505946709
805	0.350580408
810	0.3505645157
815	0.3505485118
820	0.3505290259
825	0.3505117051
830	0.350493045
835	0.3504805008
840	0.3504634479
845	0.3504475332
850	0.3504309713
855	0.350411664
860	0.3503954815
865	0.3503788973
870	0.3503635407
875	0.3503519563
880	0.3503398808
885	0.3503236091
890	0.3503092123
895	0.350297985
900	0.3502831864
905	0.3502667138
910	0.3502489242
915	0.3502339024
920	0.3502203761
925	0.3502040597
930	0.3501879219
935	0.3501731233
940	0.3501581462
945	0.3501408477
950	0.3501242635
955	0.3501102684
960	0.3500990411
965	0.3500860059
970	0.3500710957
975	0.3500586854
980	0.3500432619
985	0.350026075
990	0.3500102496
995	0.3499930181
999	0.3499827283
